Bin_ID,Zone,Ward,Latitude,Longitude,Fill_Level_Percentage,Status,Waste_Type,Battery_Level_Percentage,Last_Collection_Timestamp,Contract_Agency,Contract_Duration,Collection_Charges_Rs_per_MT,Garbage_Collected_Tons,Ward_Total_Collection_Done_Tons
NAG-BIN-1001,Laxmi Nagar,59,21.12833,79.06782,85,Warning,Organic,46,2026-04-23 11:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.425,0.42
NAG-BIN-1002,Laxmi Nagar,62,21.12611,79.06471,18,Normal,Mixed,72,2026-04-24 06:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.09,1.07
NAG-BIN-1003,Laxmi Nagar,32,21.11103,79.06432,17,Normal,Metal,68,2026-04-22 15:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.085,0.55
NAG-BIN-1004,Laxmi Nagar,30,21.12862,79.05505,84,Warning,Mixed,88,2026-04-23 09:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.42,1.84
NAG-BIN-1005,Laxmi Nagar,35,21.11117,79.06235,68,Warning,Metal,91,2026-04-22 13:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.34,0.94
NAG-BIN-1006,Laxmi Nagar,40,21.12961,79.0598,47,Normal,Paper,84,2026-04-22 11:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.235,0.24
NAG-BIN-1007,Laxmi Nagar,1,21.12444,79.05193,94,Critical,Plastic,59,2026-04-22 18:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.47,1.42
NAG-BIN-1008,Laxmi Nagar,65,21.11989,79.06515,68,Warning,Paper,57,2026-04-22 23:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.34,2.14
NAG-BIN-1009,Laxmi Nagar,44,21.11909,79.05948,23,Normal,Organic,27,2026-04-24 06:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.115,1.16
NAG-BIN-1010,Laxmi Nagar,53,21.12199,79.06496,39,Normal,Plastic,56,2026-04-24 02:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.195,0.69
NAG-BIN-1011,Laxmi Nagar,32,21.11672,79.06046,93,Critical,Mixed,44,2026-04-24 08:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.465,0.55
NAG-BIN-1012,Laxmi Nagar,38,21.11243,79.05485,37,Normal,Paper,37,2026-04-23 11:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.185,0.33
NAG-BIN-1013,Laxmi Nagar,28,21.12069,79.06367,41,Normal,Plastic,19,2026-04-22 14:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.205,0.34
NAG-BIN-1014,Laxmi Nagar,48,21.11453,79.06959,54,Normal,Mixed,78,2026-04-23 08:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.27,0.74
NAG-BIN-1015,Laxmi Nagar,14,21.11155,79.0551,48,Normal,Plastic,83,2026-04-24 09:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.24,1.14
NAG-BIN-1016,Dharampeth,19,21.14993,79.05484,11,Normal,Paper,57,2026-04-23 13:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.055,0.8
NAG-BIN-1017,Dharampeth,66,21.13489,79.05623,24,Normal,Plastic,90,2026-04-23 12:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.12,0.41
NAG-BIN-1018,Dharampeth,70,21.14841,79.06408,40,Normal,Metal,64,2026-04-22 23:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.2,1.16
NAG-BIN-1019,Dharampeth,60,21.14796,79.06365,50,Normal,Plastic,55,2026-04-24 04:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.25,1.12
NAG-BIN-1020,Dharampeth,33,21.13239,79.05684,82,Warning,Organic,43,2026-04-22 20:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.41,1.05
NAG-BIN-1021,Dharampeth,49,21.13207,79.06988,96,Critical,Mixed,43,2026-04-23 23:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.48,1.21
NAG-BIN-1022,Dharampeth,31,21.14759,79.05041,30,Normal,Metal,81,2026-04-22 20:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.15,0.38
NAG-BIN-1023,Dharampeth,71,21.13699,79.06713,66,Warning,Mixed,29,2026-04-23 19:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.33,0.78
NAG-BIN-1024,Dharampeth,74,21.14627,79.05535,18,Normal,Paper,36,2026-04-23 13:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.09,0.46
NAG-BIN-1025,Dharampeth,52,21.13944,79.0597,65,Warning,Organic,22,2026-04-23 19:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.325,1.33
NAG-BIN-1026,Dharampeth,56,21.13965,79.05237,73,Warning,Organic,63,2026-04-24 04:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.365,0.93
NAG-BIN-1027,Dharampeth,33,21.13508,79.05927,80,Warning,Metal,50,2026-04-24 01:25:45,AG Enviro Infra Projects Pvt. Ltd.,10 Years,2100,0.4,1.05
